Date,ppt (inches),tmean (degrees F),dummy_date,
January,3.28,53.8,2023-01,
February,3.57,53.7,2023-02,
March,2.72,53.6,2023-03,
April,0.95,54.3,2023-04,
May,0.33,55.5,2022-05,
June,0.07,57.3,2022-06,
July,0.03,59.6,2022-07,
August,0.02,60.6,2022-08,
September,0.06,61,2022-09,
October,0.67,59.6,2022-10,
November,1.15,56.8,2022-11,
December,2.27,54.5,2022-12,
March,2.72,53.6,2022-03,
April,0.95,54.3,2022-04,
Annual,15.12,56.7,,
PRISM Time Series Data,,,,
Location:  Lat: 34.4613   Lon: -120.4624   Elev: 125ft,,,,
"Climate variables: ppt,tmean",,,,
Spatial resolution: 4km,,,,
Monthly 1991-2020 Normals,,,,
Dataset: Norm91m,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,
Grid Cell Interpolation: Off,,,,
Time series generated: 2024-Sep-14,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,