project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004085,2041545,DANGER1,Browning,Recon Force Advantage,,
2004085,2041546,2,,,,
2004085,2041547,DANGER3,Browning,Recon Force Advantage,,
2004085,2041548,DANGER5,Browning,Recon Force Advantage,,
2004085,2041549,5,,,,
2004085,2041550,DANGER7,Browning,Recon Force Elite HP4,,
2004085,2041551,DANGER5_2,Browning,Recon Force Elite HP4,,
2004085,2041552,DANGER8,Browning,Recon Force Elite HP4,,
2004085,2041553,DANGER13,Browning,Recon Force Advantage,,
2004085,2041554,DANGER6,Browning,Recon Force Advantage,,
2004085,2041555,VANDY3,Reconyx,Hyperfire,,
2004085,2041556,DANGER12,Browning,Recon Force Advantage,,
2004085,2041557,DANGER7,Browning,Recon Force Advantage,,
2004085,2041558,VANDY2,Browning,Recon Force Advantage,,
2004085,2041559,VANDY15,Browning,Recon Force Elite HP4,,
2004085,2041560,VANDY16,Reconyx,Hyperfire,,
2004085,2041561,VANDY18,Reconyx,Hyperfire,,
2004085,2041562,VANDY18,Reconyx,Hyperfire,,
2004085,2041563,VANDY6,Reconyx,Hyperfire,,
2004085,2041564,VANDY20,Reconyx,Hyperfire,,
2004085,2041565,VANDY10,Reconyx,Hyperfire,,
2004085,2041566,VANDY4,Reconyx,Hyperfire,,
2004085,2041567,VANDY8,Reconyx,Hyperfire,,
2004085,2041568,VANDY12,Reconyx,Hyperfire,,
2004085,2041569,VANDY16,Reconyx,Hyperfire,,
2004085,2041570,VANDY17,Reconyx,Hyperfire,,
2004085,2041571,VANDY3,Reconyx,Hyperfire,,
2004085,2041572,VANDY4,Browning,Recon Force Advantage,,
2004085,2041573,DANGER11,Browning,Recon Force Elite HP4,,
2004085,2041574,DANGER30,Reconyx,Hyperfire,,
2004085,2041575,DANGER31,Reconyx,Hyperfire,,
2004085,2041576,DANGER32,Reconyx,Hyperfire,,
2004085,2041577,DANGER33,Reconyx,Hyperfire,,
2004085,2041578,DANGER34,Reconyx,Hyperfire,,
2004085,2089815,DANGER30,Browning,Recon Force Elite HP4,,
2004085,2093312,Alegria Seawall Cam,,,,
2004085,2093314,Caliente Cam,,,,
2004085,2093320,Gato Cam,,,,
2004085,2093322,Llegua Cam,,,,
2004085,2093353,Auggies Cam,,,,
2004085,2093354,Bulito South Cam,,,,
2004085,2093355,Wasp Cam,,,,